Steps,Miles,Floors,Sleep,Day,Month
7345,3.21,31,7.966666667,F,Jan
114,0.05,1,8.533333333,Sat,Jan
15400,6.73,37,7.383333333,Sun,Jan
10781,5.01,39,7,M,Jan
13773,6.13,12,9.333333333,T,Jan
11512,5.16,31,7.033333333,W,Jan
14295,6.26,30,7.783333333,R,Jan
11286,5.02,23,7.866666667,F,Jan
9184,4.01,25,8.566666667,Sat,Jan
5241,2.29,11,7.4,Sun,Jan
17209,7.55,20,8.25,M,Jan
8843,3.88,15,8.4,T,Jan
13624,6.08,27,7.566666667,W,Jan
12104,5.41,19,3.433333333,R,Jan
16156,7.1,53,8.45,F,Jan
7258,3.17,13,7.5,Sat,Jan
10706,4.68,20,6.7,Sun,Jan
20122,8.79,140,5.033333333,M,Jan
10521,4.75,18,7.716666667,T,Jan
12760,5.69,12,7.6,W,Jan
11362,5.09,14,8.816666667,R,Jan
13414,6.07,10,8.566666667,F,Jan
6826,2.98,11,8.716666667,Sat,Jan
6444,2.81,45,8.25,Sun,Jan
17299,7.62,31,7.5,M,Jan
12011,5.26,15,7.616666667,T,Jan
14212,6.4,30,7.883333333,W,Jan
10626,4.74,14,6.333333333,R,Jan
14702,6.65,27,7.616666667,F,Jan
10001,4.37,23,5.95,Sat,Jan
5643,2.47,22,0,Sun,Jan
16982,7.59,36,7.383333333,M,Feb
11520,5.1,20,8.7,T,Feb
13799,6.07,34,7.533333333,W,Feb
13874,6.23,45,6.6,R,Feb
18136,8.03,21,7.7,F,Feb
11443,5,33,8,Sat,Feb
4219,1.84,21,8.383333333,Sun,Feb
15600,6.97,34,7.233333333,M,Feb
10701,4.67,11,7.016666667,T,Feb
13196,5.95,15,6.783333333,W,Feb
9141,4.01,15,7.7,R,Feb
15383,6.75,18,7.933333333,F,Feb
8318,3.63,20,7.966666667,Sat,Feb
7760,3.39,32,7.55,Sun,Feb
8806,3.85,10,7.05,M,Feb
15731,6.87,17,7.683333333,T,Feb
12675,5.6,29,7.3,W,Feb
9892,4.61,9,8.016666667,R,Feb
16220,7.15,15,7.633333333,F,Feb
12367,5.42,28,7.45,Sat,Feb
1792,0.78,4,8.483333333,Sun,Feb
17942,7.87,29,4.666666667,M,Feb
7609,3.39,10,9.3,T,Feb
14097,6.45,10,7.4,W,Feb
12902,5.75,12,8.4,R,Feb
12889,5.76,14,7.416666667,F,Feb
11619,5.08,54,7.416666667,Sat,Feb
4888,2.14,8,7.7,Sun,Feb
18792,8.26,19,7.466666667,M,March
6413,2.85,12,7.733333333,T,March
12171,5.46,6,8.25,W,March
8502,3.73,9,7.85,R,March
13631,6,11,7.666666667,F,March
8273,3.67,24,8.283333333,Sat,March
6041,2.64,12,8.466666667,Sun,March
16700,7.49,23,7.133333333,M,March
11058,4.89,11,7.383333333,T,March
11152,4.97,15,6.75,W,March
10485,4.77,10,8.283333333,R,March
13904,6.23,21,7.483333333,F,March
4679,2.06,9,8.05,Sat,March
4906,2.14,13,8.1,Sun,March
18804,8.31,26,6.116666667,M,March
9813,4.33,27,7.983333333,T,March
11737,5.14,6,7.516666667,W,March
7816,3.45,5,7.483333333,R,March
9494,4.17,34,7.566666667,F,March
9809,4.28,15,8.116666667,Sat,March
4469,2,9,8.2,Sun,March
5183,2.26,12,0,M,March
8026,3.51,13,7.366666667,T,March
1427,0.62,7,7.716666667,W,March
9125,3.99,17,8.25,R,March
7332,3.2,11,4.816666667,F,March
7002,3.06,15,7.5,Sat,March
4632,2.02,10,7.483333333,Sun,March
4291,1.94,4,7.6,M,March
